OrganRus,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Samples
ГОЧНЫЕ ВЕНЫ,1.75000000,2.00000000,3.00000000,3.14160000,0.00000000,0.00000000,3.39060000,4.00000000,1
ГРАНУЛЫ ИНСУЛИНА,1.81200000,3.47600000,1.75500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГРАНУЛЯРНАЯ ЭНДОПЛАЗМАТИЧЕСКАЯ СЕТЬ,1.63530000,2.21920000,-0.00910000,2.16510000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГРУДИНА,1.65600000,1.05700000,1.11300000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГРУДНОЙ  ОТДЕЛ  АОРТЫ,1.77800000,1.53300000,1.66700000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ГРУДОАКРОМИАЛЬНАЯ АРТЕРИЯ,1.55670000,1.73760000,0.78300000,1.08260000,0.00000000,0.00000000,0.00000000,0.00000000,2
ГРУДОСПИННАЯ АРТЕРИЯ,1.73480000,0.87520000,1.80580000,0.00000000,0.89210000,0.00000000,0.86070000,0.00000000,2
ГРУДОСПИННАЯ ВЕНА,1.72560000,0.83300000,0.84080000,-22.57640000,-0.54220000,0.86430000,0.87210000,0.87990000,2
ГРУШЕВИДНОЕ  УГЛУБЛЕГНИЕ,1.78900000,1.47800000,1.96500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ДВЕНАДЦАТИПЕРСТНАЯ  КИШКА.,1.82700000,1.36300000,1.75200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1
ДВЕНАДЦАТИПЕРСТНАЯ КИШКА,1.59290000,0.00000000,1.59140000,0.00000000,1.58690000,0.00000000,1.55110000,0.00000000,1
ДВУГЛАВАЯ МЫШЦА ПЛЕЧА,1.69880000,0.00000000,1.87500000,-0.00000000,2.00890000,0.00000000,0.00000000,-0.00020000,1
ДЕНТИН,1.76060000,0.00000000,1.73040000,0.00000000,1.76280000,0.00000000,1.74920000,14.51730000,1
ДИАГОНАЛЬНАЯ ВЕТВЬ ЛЕВОЙ ВЕНЕЧНОЙ,1.80660000,1.82230000,1.83790000,1.85350000,1.86910000,1.88480000,1.90040000,1.91600000,1
ДИАФРАГМА,1.77480000,0.73900000,1.84770000,0.00000000,0.88140000,0.00000000,0.87460000,7.25860000,2
ДЛИННЫЙ ГРУДНОЙ НЕРВ,1.70870000,-0.00180000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.81970000,1
ДНО  ЖЕЛУДКА.,1.73820000,1.87270000,2.05690000,0.96580000,0.00000000,0.00000000,0.00000000,0.00000000,2
ДУГА  АОРТЫ,1.73050000,0.94900000,1.91450000,0.00000000,0.97910000,0.00000000,0.00000000,0.00000000,2
ДУГА АОРТЫ,1.74290000,0.81930000,0.97670000,0.00000000,-0.11470000,-0.23800000,0.33330000,0.00000000,3
ЖЕЛУДОК,1.67170000,0.00000000,1.75760000,0.00000000,1.67720000,0.00000000,1.75810000,0.00000000,1
ЖЕЛУДОЧЕК  ГОРТАНИ,1.68940000,1.77540000,1.83790000,1.93160000,0.00000000,0.00000000,0.00000000,0.00000000,1
ЖЕЛУДОЧНО-ДВЕНАДЦАТИПЕРСТНАЯ АРТЕРИЯ,1.67720000,0.00000000,1.75810000,0.00000000,1.86050000,0.00000000,0.00000000,0.00000000,1
ЖЕЛЧНЫЙ ПУЗЫРЬ,1.59290000,0.00000000,1.59140000,0.00000000,1.58690000,0.00000000,1.55110000,0.00000000,1
ЗАДНЯЯ  МОЗГОВАЯ  АРТЕРИЯ,1.71190000,0.86820000,1.91500000,0.00000000,1.12500000,0.00000000,1.15620000,0.00000000,2
ЗАДНЯЯ ВЕНА ЛЕВОГО ЖЕЛУДОЧКА,1.65040000,1.55020000,1.97130000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2
ЗАДНЯЯ МЕЖЖЕЛУДОЧКОВАЯ БОРОЗДА,1.72310000,0.00000000,1.66150000,0.00000000,1.73110000,0.00000000,1.67270000,0.00000000,1
